Ratio,Temperature (K),Time,Conversion
1:1,343,15,5.9528
1:1,343,30,19.1169
1:1,343,60,28.7477
1:1,343,90,32.1941
1:1,343,120,34.4049
1:1,343,150,33.6375
1:1,353,15,16.6238
1:1,353,30,20.3829
1:1,353,60,32.3727
1:1,353,90,30.834
1:1,353,120,34.1792
1:1,353,150,33.6075
1:1,363,15,5.2776
1:1,363,30,20.7585
1:1,363,60,31.5518
1:1,363,90,36.9019
1:1,363,120,46.2617
1:1,363,150,53.603
1:2,343,30,27.0081
1:2,343,60,42.8573
1:2,343,90,48.8311
1:2,343,120,63.3129
1:2,343,150,65.7115
1:2,343,180,72.5919
1:2,353,15,21.791
1:2,353,90,54.5886
1:2,353,120,65.7638
1:2,353,150,70.0435
1:2,353,180,68.8498
1:2,363,15,25.0428
1:2,363,30,36.4004
1:2,363,60,60.5786
1:2,363,150,79.3901
1:2,363,180,82.3048
1:3,343,15,23.806
1:3,343,30,34.4767
1:3,343,60,48.897
1:3,343,90,57.9604
1:3,343,120,62.1604
1:3,343,150,72.5907
1:3,353,15,27.9601
1:3,353,60,55.0886
1:3,353,90,70.267
1:3,353,120,73.893
1:3,353,150,76.3372
1:3,363,15,15.3197
1:3,363,30,42.9821
1:3,363,60,61.9589
1:3,363,90,80.7834
1:3,363,120,77.8825
1:3,363,150,85.0761
1:3,363,180,88.9578